sample_id,arch_code,sample_node,MAE
144,"[0, 0, 2, 0, 5, 2]",random,1.267738819
145,"[2, 4, 6, 4, 5, 3]",random,1.514268041
146,"[4, 0, 4, 5, 0, 6]",random,1.2321463823318481
147,"[0, 2, 0, 1, 6, 0]",random,1.300077677
148,"[4, 5, 6, 1, 6, 3]",random,1.3066734075546265
149,"[2, 4, 1, 0, 5, 3]",random,1.38238525390625
150,"[0, 4, 4, 3, 2, 1]",random,1.2740317583084106
151,"[5, 3, 4, 4, 6, 2]",random,1.307344079
152,"[6, 2, 3, 1, 2, 5]",random,1.3266116380691528
153,"[3, 5, 3, 3, 3, 2]",random,1.2785142660140991
154,"[6, 3, 0, 0, 0, 3]",random,1.2237972021102905
155,"[5, 2, 4, 0, 4, 6]",random,1.404437661
156,"[4, 4, 6, 0, 2, 1]",random,1.4236376285552979
157,"[5, 6, 3, 1, 0, 3]",random,1.2513179779052734
158,"[5, 1, 0, 5, 4, 2]",random,1.4207319021224976
159,"[6, 3, 1, 6, 5, 4]",random,1.4632302522659302
160,"[1, 6, 0, 5, 5, 2]",random,1.2368228435516357
161,"[5, 4, 5, 3, 5, 3]",random,1.4140853881835938
162,"[6, 1, 0, 0, 2, 3]",random,1.2193440198898315
163,"[3, 2, 0, 6, 4, 1]",random,1.215298056602478
164,"[1, 4, 5, 5, 2, 1]",random,1.332759141921997
165,"[4, 4, 1, 1, 2, 2]",random,1.373573660850525
166,"[2, 2, 0, 0, 1, 5]",random,1.3660892248153687
167,"[3, 2, 4, 4, 1, 5]",random,1.2680176496505737
168,"[2, 1, 1, 4, 2, 6]",random,1.338021398
169,"[0, 6, 0, 0, 2, 6]",random,1.350380301475525
170,"[1, 3, 3, 0, 0, 5]",random,1.233469843864441
171,"[0, 6, 6, 3, 3, 6]",random,1.255258321762085
172,"[3, 4, 6, 5, 5, 6]",random,1.332431793
173,"[6, 1, 4, 0, 1, 4]",random,1.2787621021270752
174,"[4, 2, 1, 3, 5, 4]",random,1.5245087146759033
175,"[4, 4, 1, 3, 6, 3]",random,1.6554783582687378
176,"[5, 5, 1, 4, 0, 6]",random,1.298070669
177,"[6, 5, 4, 5, 4, 0]",random,1.255807877
178,"[4, 4, 5, 4, 4, 6]",random,1.3949329853057861
179,"[5, 5, 4, 2, 6, 3]",random,1.394672394
180,"[1, 1, 3, 5, 4, 2]",random,1.2698901891708374
181,"[6, 6, 6, 1, 3, 6]",random,1.251740456
182,"[6, 6, 3, 5, 6, 3]",random,1.310985446
183,"[1, 4, 2, 5, 5, 0]",random,1.2481235265731812
184,"[1, 1, 2, 4, 4, 1]",random,1.2550498247146606
185,"[5, 0, 2, 1, 6, 1]",random,1.3011318445205688
186,"[1, 1, 0, 5, 0, 2]",random,1.2183480262756348
187,"[3, 4, 1, 6, 1, 6]",random,1.222381830215454
188,"[2, 2, 5, 5, 0, 4]",random,1.575384259223938
189,"[4, 5, 6, 0, 0, 1]",random,1.255218744
190,"[4, 5, 4, 5, 5, 0]",random,1.3052310943603516
191,"[4, 3, 3, 0, 2, 6]",random,1.417369843
192,"[3, 2, 6, 6, 3, 6]",random,1.276787758
193,"[5, 0, 5, 2, 4, 2]",random,1.3829673528671265
194,"[0, 6, 0, 0, 6, 2]",random,1.3486108779907227
195,"[2, 0, 6, 1, 2, 2]",random,1.5050694942474365
196,"[3, 4, 4, 2, 3, 0]",random,1.225067377090454
197,"[2, 0, 1, 0, 4, 3]",random,1.4029669761657715
198,"[1, 2, 6, 0, 1, 2]",random,1.3297966718673706
199,"[5, 2, 6, 3, 4, 2]",random,1.3847347497940063
200,"[5, 1, 1, 3, 3, 4]",random,1.404683113
